EEG data shape: (34, 340000)
fMRI data shape: (64, 64, 32, 170)
EEG duration (seconds): 340.0
fMRI duration (seconds): 340
STFT data shape: (34, 1001, 341)
Vol 82: start_idx = 138000, end_idx = 158000, stft_data.shape[2] = 341
Vol 83: start_idx = 140000, end_idx = 160000, stft_data.shape[2] = 341
Vol 84: start_idx = 142000, end_idx = 162000, stft_data.shape[2] = 341
Vol 85: start_idx = 144000, end_idx = 164000, stft_data.shape[2] = 341
Vol 86: start_idx = 146000, end_idx = 166000, stft_data.shape[2] = 341
Vol 87: start_idx = 148000, end_idx = 168000, stft_data.shape[2] = 341
Vol 88: start_idx = 150000, end_idx = 170000, stft_data.shape[2] = 341
Vol 89: start_idx = 152000, end_idx = 172000, stft_data.shape[2] = 341
Vol 90: start_idx = 154000, end_idx = 174000, stft_data.shape[2] = 341
Vol 91: start_idx = 156000, end_idx = 176000, stft_data.shape[2] = 341
Vol 92: start_idx = 158000, end_idx = 178000, stft_data.shape[2] = 341
Vol 93: start_idx = 160000, end_idx = 180000, stft_data.shape[2] = 341
Vol 94: start_idx = 162000, end_idx = 182000, stft_data.shape[2] = 341
Vol 95: start_idx = 164000, end_idx = 184000, stft_data.shape[2] = 341
Vol 96: start_idx = 166000, end_idx = 186000, stft_data.shape[2] = 341
Vol 97: start_idx = 168000, end_idx = 188000, stft_data.shape[2] = 341
Vol 98: start_idx = 170000, end_idx = 190000, stft_data.shape[2] = 341
Vol 99: start_idx = 172000, end_idx = 192000, stft_data.shape[2] = 341
Vol 100: start_idx = 174000, end_idx = 194000, stft_data.shape[2] = 341
Vol 101: start_idx = 176000, end_idx = 196000, stft_data.shape[2] = 341
Vol 102: start_idx = 178000, end_idx = 198000, stft_data.shape[2] = 341
Vol 103: start_idx = 180000, end_idx = 200000, stft_data.shape[2] = 341
Vol 104: start_idx = 182000, end_idx = 202000, stft_data.shape[2] = 341
Vol 105: start_idx = 184000, end_idx = 204000, stft_data.shape[2] = 341
Vol 106: start_idx = 186000, end_idx = 206000, stft_data.shape[2] = 341
Vol 107: start_idx = 188000, end_idx = 208000, stft_data.shape[2] = 341
Vol 108: start_idx = 190000, end_idx = 210000, stft_data.shape[2] = 341
Vol 109: start_idx = 192000, end_idx = 212000, stft_data.shape[2] = 341
Vol 110: start_idx = 194000, end_idx = 214000, stft_data.shape[2] = 341
Vol 111: start_idx = 196000, end_idx = 216000, stft_data.shape[2] = 341
Vol 112: start_idx = 198000, end_idx = 218000, stft_data.shape[2] = 341
Vol 113: start_idx = 200000, end_idx = 220000, stft_data.shape[2] = 341
Vol 114: start_idx = 202000, end_idx = 222000, stft_data.shape[2] = 341
Vol 115: start_idx = 204000, end_idx = 224000, stft_data.shape[2] = 341
Vol 116: start_idx = 206000, end_idx = 226000, stft_data.shape[2] = 341
Vol 117: start_idx = 208000, end_idx = 228000, stft_data.shape[2] = 341
Vol 118: start_idx = 210000, end_idx = 230000, stft_data.shape[2] = 341
Vol 119: start_idx = 212000, end_idx = 232000, stft_data.shape[2] = 341
Vol 120: start_idx = 214000, end_idx = 234000, stft_data.shape[2] = 341
Vol 121: start_idx = 216000, end_idx = 236000, stft_data.shape[2] = 341
Vol 122: start_idx = 218000, end_idx = 238000, stft_data.shape[2] = 341
Vol 123: start_idx = 220000, end_idx = 240000, stft_data.shape[2] = 341
Vol 124: start_idx = 222000, end_idx = 242000, stft_data.shape[2] = 341
Vol 125: start_idx = 224000, end_idx = 244000, stft_data.shape[2] = 341
Vol 126: start_idx = 226000, end_idx = 246000, stft_data.shape[2] = 341
Vol 127: start_idx = 228000, end_idx = 248000, stft_data.shape[2] = 341
Vol 128: start_idx = 230000, end_idx = 250000, stft_data.shape[2] = 341
Vol 129: start_idx = 232000, end_idx = 252000, stft_data.shape[2] = 341
Vol 130: start_idx = 234000, end_idx = 254000, stft_data.shape[2] = 341
Vol 131: start_idx = 236000, end_idx = 256000, stft_data.shape[2] = 341
Vol 132: start_idx = 238000, end_idx = 258000, stft_data.shape[2] = 341
Vol 133: start_idx = 240000, end_idx = 260000, stft_data.shape[2] = 341
Vol 134: start_idx = 242000, end_idx = 262000, stft_data.shape[2] = 341
Vol 135: start_idx = 244000, end_idx = 264000, stft_data.shape[2] = 341
Vol 136: start_idx = 246000, end_idx = 266000, stft_data.shape[2] = 341
Vol 137: start_idx = 248000, end_idx = 268000, stft_data.shape[2] = 341
Vol 138: start_idx = 250000, end_idx = 270000, stft_data.shape[2] = 341
Vol 139: start_idx = 252000, end_idx = 272000, stft_data.shape[2] = 341
Vol 140: start_idx = 254000, end_idx = 274000, stft_data.shape[2] = 341
Vol 141: start_idx = 256000, end_idx = 276000, stft_data.shape[2] = 341
Vol 142: start_idx = 258000, end_idx = 278000, stft_data.shape[2] = 341
Vol 143: start_idx = 260000, end_idx = 280000, stft_data.shape[2] = 341
Vol 144: start_idx = 262000, end_idx = 282000, stft_data.shape[2] = 341
Vol 145: start_idx = 264000, end_idx = 284000, stft_data.shape[2] = 341
Vol 146: start_idx = 266000, end_idx = 286000, stft_data.shape[2] = 341
